GR,RHOB,ILD,SP,NPHI
-999.0,-999.0,-999.0,-28.8593998,-999.0
-999.0,-999.0,-999.0,-29.0468998,-999.0
-999.0,-999.0,-999.0,-29.3593998,-999.0
-999.0,-999.0,-999.0,-29.3906002,-999.0
-999.0,-999.0,-999.0,-29.4375,-999.0
-999.0,-999.0,-999.0,-29.375,-999.0
-999.0,-999.0,-999.0,-29.3125,-999.0
-999.0,-999.0,-999.0,-29.7968998,-999.0
-999.0,-999.0,-999.0,-30.0468998,-999.0
-999.0,-999.0,-999.0,-30.6718998,-999.0
-999.0,-999.0,-999.0,-31.2969017,-999.0
-999.0,-999.0,-999.0,-31.75000191,-999.0
-999.0,-999.0,-999.0,-32.21879959,-999.0
-999.0,-999.0,-999.0,-32.65629959,-999.0
-999.0,-999.0,-999.0,-32.96879959,-999.0
-999.0,-999.0,-999.0,-33.90629959,-999.0
-999.0,-999.0,-999.0,-33.71879959,-999.0
-999.0,-999.0,-999.0,-33.3125,-999.0
-999.0,-999.0,-999.0,-33.4375,-999.0
-999.0,-999.0,-999.0,-33.75,-999.0
-999.0,-999.0,-999.0,-34.09379959,-999.0
-999.0,-999.0,-999.0,-34.3125,-999.0
-999.0,-999.0,-999.0,-34.46879959,-999.0
-999.0,-999.0,-999.0,-34.59379959,-999.0
-999.0,-999.0,-999.0,-34.8125,-999.0
-999.0,-999.0,-999.0,-34.71879959,-999.0
-999.0,-999.0,-999.0,-34.8125,-999.0
-999.0,-999.0,-999.0,-34.78129959,-999.0
-999.0,-999.0,-999.0,-35.4375,-999.0
-999.0,-999.0,-999.0,-35.6875,-999.0
-999.0,-999.0,-999.0,-36.28129959,-999.0
-999.0,-999.0,-999.0,-36.90629959,-999.0
-999.0,-999.0,-999.0,-37.5,-999.0
-999.0,-999.0,-999.0,-37.9375,-999.0
-999.0,-999.0,-999.0,-38.375,-999.0
-999.0,-999.0,-999.0,-38.875,-999.0
-999.0,-999.0,-999.0,-39.4375,-999.0
-999.0,-999.0,-999.0,-39.78129959,-999.0
-999.0,-999.0,-999.0,-39.25,-999.0
-999.0,-999.0,-999.0,-39.34379959,-999.0
-999.0,-999.0,-999.0,-39.4375,-999.0
-999.0,-999.0,-999.0,-39.5625,-999.0
-999.0,-999.0,-999.0,-39.46879959,-999.0
-999.0,-999.0,-999.0,-39.40629959,-999.0
-999.0,-999.0,-999.0,-39.34379959,-999.0
-999.0,-999.0,-999.0,-39.4375,-999.0
-999.0,-999.0,-999.0,-39.40629959,-999.0
-999.0,-999.0,-999.0,-39.375,-999.0
-999.0,-999.0,-999.0,-38.71879959,-999.0
-999.0,-999.0,-999.0,-38.15629959,-999.0
-999.0,-999.0,-999.0,-37.78129959,-999.0
-999.0,-999.0,-999.0,-37.5625,-999.0
-999.0,-999.0,-999.0,-37.28129959,-999.0
-999.0,-999.0,-999.0,-37.21879959,-999.0
