GR,RHOB,ILD,SP,NPHI,Predicted_Fluid,FLUIDTYPES
77.943199158,-999.0,15.854999542,60.246101379,-999.0,3.0,3.0
77.943199158,-999.0,16.508800507,58.888500214,-999.0,3.0,3.0
77.943199158,-999.0,17.235700607,57.956298828,-999.0,3.0,3.0
77.943199158,-999.0,18.041500092,55.218898773,-999.0,3.0,3.0
77.943199158,-999.0,18.051099777,53.391899109,-999.0,3.0,3.0
77.943199158,-999.0,19.479499817,51.641399384,-999.0,3.0,3.0
77.943199158,-999.0,20.054199219,50.405399323,-999.0,3.0,3.0
77.943199158,-999.0,20.226800919,48.618900299,-999.0,3.0,3.0
77.943199158,-999.0,20.269500732,47.26720047,-999.0,3.0,3.0
77.943199158,-999.0,20.322099686,47.251399994,-999.0,3.0,3.0
77.943199158,-999.0,20.357700348,45.631500244,-999.0,3.0,3.0
77.943199158,-999.0,20.402099609,44.463199615,-999.0,3.0,3.0
77.943199158,-999.0,20.487499237,43.832000732,-999.0,3.0,3.0
77.943199158,-999.0,20.526100159,42.663700104,-999.0,3.0,3.0
77.943199158,-999.0,20.53840065,42.032600403,-999.0,3.0,3.0
77.943199158,-999.0,20.614400864,40.830101013,-999.0,3.0,3.0
77.943199158,-999.0,20.650100708,39.663398743,-999.0,3.0,3.0
77.943199158,-999.0,20.686899185,39.099700928,-999.0,3.0,3.0
77.943199158,-999.0,20.687400818,39.072299957,-999.0,3.0,3.0
77.943199158,-999.0,20.687900543,38.440898895,-999.0,3.0,3.0
77.943199158,-999.0,20.688400269,37.272899628,-999.0,3.0,3.0
77.943199158,-999.0,20.688899994,36.675998688,-999.0,3.0,3.0
77.943199158,-999.0,20.689300537,36.094600677,-999.0,3.0,3.0
77.943199158,-999.0,20.689599991,35.787998199,-999.0,3.0,3.0
77.943199158,-999.0,20.684099197,35.521598816,-999.0,3.0,3.0
77.943199158,-999.0,20.663000107,35.52809906,-999.0,3.0,3.0
77.943199158,-999.0,20.651399612,35.469501495,-999.0,3.0,3.0
77.943199158,-999.0,20.650800705,34.359199524,-999.0,3.0,3.0
77.943199158,-999.0,20.630599976,33.701900482,-999.0,3.0,3.0
77.943199158,-999.0,20.612699509,33.105098724,-999.0,3.0,3.0
77.943199158,-999.0,20.606100082,32.498298645,-999.0,3.0,3.0
77.943199158,-999.0,20.57970047,31.75810051,-999.0,3.0,3.0
77.943199158,-999.0,20.549699783,31.34749794,-999.0,3.0,3.0
77.943199158,-999.0,20.535299301,31.320199966,-999.0,3.0,3.0
77.943199158,-999.0,20.535800934,30.788999557,-999.0,3.0,3.0
77.943199158,-999.0,20.536300659,31.226900101,-999.0,3.0,3.0
77.943199158,-999.0,20.536800385,29.568500519,-999.0,3.0,3.0
77.943199158,-999.0,20.53730011,29.535699844,-999.0,3.0,3.0
77.943199158,-999.0,20.537799835,28.972600937,-999.0,3.0,3.0
77.943199158,-999.0,20.538200378,28.979200363,-999.0,3.0,3.0
77.943199158,-999.0,20.538700104,28.951499939,-999.0,3.0,3.0
77.943199158,-999.0,20.539199829,28.388900757,-999.0,3.0,3.0
77.943199158,-999.0,20.538000107,28.327899933,-999.0,3.0,3.0
77.943199158,-999.0,20.508800507,27.195100784,-999.0,3.0,3.0
77.943199158,-999.0,20.500499725,27.201799393,-999.0,3.0,3.0
77.943199158,-999.0,20.495000839,27.192199707,-999.0,3.0,3.0
77.943199158,-999.0,20.473899841,26.883800507,-999.0,3.0,3.0
77.943199158,-999.0,20.462400436,26.104299545,-999.0,3.0,3.0
77.943199158,-999.0,20.462400436,25.315599442,-999.0,3.0,3.0
77.943199158,-999.0,20.453100204,24.821500778,-999.0,3.0,3.0
77.943199158,-999.0,20.426700592,24.794399261,-999.0,3.0,3.0
77.943199158,-999.0,20.39620018,24.231500626,-999.0,3.0,3.0
77.943199158,-999.0,20.386299133,24.238300323,-999.0,3.0,3.0
77.943199158,-999.0,20.407100677,24.210800171,-999.0,3.0,3.0
77.943199158,-999.0,20.445400238,23.614599228,-999.0,3.0,3.0
77.943199158,-999.0,20.475000381,23.017999649,-999.0,3.0,3.0
77.943199158,-999.0,20.497699738,22.420999527,-999.0,3.0,3.0
77.943199158,-999.0,20.522800446,21.858699799,-999.0,3.0,3.0
77.943199158,-999.0,20.54750061,21.865499496,-999.0,3.0,3.0
77.943199158,-999.0,20.548000336,21.838499069,-999.0,3.0,3.0
77.943199158,-999.0,20.548400879,21.275899887,-999.0,3.0,3.0
77.943199158,-999.0,20.547599792,21.24889946,-999.0,3.0,3.0
77.943199158,-999.0,20.522100449,20.652000427,-999.0,3.0,3.0
77.943199158,-999.0,20.471399307,20.089899063,-999.0,3.0,3.0
77.943199158,-999.0,20.42040062,20.062400818,-999.0,3.0,3.0
77.943199158,-999.0,20.395599365,19.500400543,-999.0,3.0,3.0
77.943199158,-999.0,20.392000198,19.472999573,-999.0,3.0,3.0
77.943199158,-999.0,20.392499924,18.910900116,-999.0,3.0,3.0
77.943199158,-999.0,20.399700165,18.905000687,-999.0,3.0,3.0
77.943199158,-999.0,20.511899948,18.674800873,-999.0,3.0,3.0
77.943199158,-999.0,20.491699219,18.362300873,-999.0,3.0,3.0
77.943199158,-999.0,20.452299118,18.9041996,-999.0,3.0,3.0
77.943199158,-999.0,20.414100647,18.342300415,-999.0,3.0,3.0
77.943199158,-999.0,20.395399094,18.314899445,-999.0,3.0,3.0
77.943199158,-999.0,20.395900726,17.753000259,-999.0,3.0,3.0
77.943199158,-999.0,20.412200928,17.759899139,-999.0,3.0,3.0
77.943199158,-999.0,20.677400589,17.76199913,-999.0,3.0,3.0
77.943199158,-999.0,20.707500458,17.693500519,-999.0,3.0,3.0
77.943199158,-999.0,20.736600876,17.780599594,-999.0,3.0,3.0
77.943199158,-999.0,20.76720047,17.787599564,-999.0,3.0,3.0
77.943199158,-999.0,20.797199249,17.778299332,-999.0,3.0,3.0
77.943199158,-999.0,20.798000336,17.53030014,-999.0,3.0,3.0
77.943199158,-999.0,20.804800034,17.842599869,-999.0,3.0,3.0
77.943199158,-999.0,20.834400177,18.418199539,-999.0,3.0,3.0
77.943199158,-999.0,20.903499603,18.459400177,-999.0,3.0,3.0
77.943199158,-999.0,20.956899643,19.069700241,-999.0,3.0,3.0
77.943199158,-999.0,21.001399994,19.610399246,-999.0,3.0,3.0
77.943199158,-999.0,21.03730011,19.048700333,-999.0,3.0,3.0
77.943199158,-999.0,21.04129982,19.055599213,-999.0,3.0,3.0
77.943199158,-999.0,21.062000275,19.084100723,-999.0,3.0,3.0
77.943199158,-999.0,21.089000702,19.423000336,-999.0,3.0,3.0
77.943199158,-999.0,21.116800308,19.076200485,-999.0,3.0,3.0
77.943199158,-999.0,21.157400131,19.083099365,-999.0,3.0,3.0
77.943199158,-999.0,21.202100754,19.124300003,-999.0,3.0,3.0
77.943199158,-999.0,21.24710083,19.69960022,-999.0,3.0,3.0
